股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601998,8.28,8.31,8.4,8.22,336244,167475117.0,2.17,0.0,0.0,0.1,1
601998,8.34,8.45,8.47,8.31,353048,178616251.0,1.93,1.68,0.14,0.1,1
601998,8.46,8.39,8.47,8.35,294798,149029912.0,1.42,-0.71,-0.06,0.09,1
601998,8.39,8.39,8.42,8.34,259228,130504649.0,0.95,0.0,0.0,0.08,1
601998,8.41,8.43,8.48,8.33,280373,141817243.0,1.79,0.48,0.04,0.08,1
601998,8.43,8.37,8.46,8.34,256049,129067775.0,1.42,-0.71,-0.06,0.08,1
601998,8.35,8.39,8.43,8.35,169384,85546897.0,0.96,0.24,0.02,0.05,1
601998,8.41,8.42,8.42,8.31,242103,121767641.0,1.31,0.36,0.03,0.07,1
601998,8.41,8.46,8.48,8.4,233012,118597961.0,0.95,0.48,0.04,0.07,1
601998,8.48,8.41,8.53,8.37,473201,240399064.0,1.89,-0.59,-0.05,0.14,1
601998,8.42,8.43,8.46,8.39,310319,157542544.0,0.83,0.24,0.02,0.09,1
601998,8.46,8.41,8.47,8.41,222707,113190887.0,0.71,-0.24,-0.02,0.07,1
601998,8.41,8.41,8.46,8.39,200762,101553357.0,0.83,0.0,0.0,0.06,1
601998,8.43,8.42,8.43,8.4,244844,123970400.0,0.36,0.12,0.01,0.07,1
601998,8.47,8.42,8.48,8.41,267207,135856385.0,0.83,0.0,0.0,0.08,1
601998,8.45,8.4,8.46,8.36,239609,121215137.0,1.19,-0.24,-0.02,0.07,1
