股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601169,17.29,17.22,17.29,17.17,440226,188844171.0,0.69,-0.29,-0.05,0.21,1
601169,17.22,17.32,17.32,17.19,607104,261785736.0,0.75,0.58,0.1,0.29,1
601169,17.29,17.24,17.34,17.22,728916,313768291.0,0.69,-0.46,-0.08,0.34,1
601169,17.24,17.19,17.24,17.17,497362,212844824.0,0.41,-0.29,-0.05,0.24,1
601169,17.19,17.14,17.22,17.14,474008,202462492.0,0.47,-0.29,-0.05,0.22,1
601169,17.17,17.07,17.17,17.07,493636,209562551.0,0.58,-0.41,-0.07,0.23,1
601169,17.07,17.09,17.14,17.07,397068,168524701.0,0.41,0.12,0.02,0.19,1
601169,17.09,17.04,17.12,17.04,355636,150266932.0,0.47,-0.29,-0.05,0.17,1
601169,17.07,17.12,17.12,17.04,487656,206611377.0,0.47,0.47,0.08,0.23,1
601169,17.12,17.12,17.17,17.09,696551,296554673.0,0.47,0.0,0.0,0.33,1
601169,17.14,17.07,17.14,17.04,643731,272481283.0,0.58,-0.29,-0.05,0.3,1
601169,17.07,17.09,17.12,17.07,372514,157870376.0,0.29,0.12,0.02,0.18,1
601169,17.09,17.14,17.14,17.04,330175,140093884.0,0.59,0.29,0.05,0.16,1
601169,17.14,17.17,17.19,17.12,364176,155348680.0,0.41,0.18,0.03,0.17,1
601169,17.22,17.14,17.24,17.14,473206,202374704.0,0.58,-0.17,-0.03,0.22,1
601169,17.14,17.12,17.17,17.09,466950,198798312.0,0.47,-0.12,-0.02,0.22,1
