股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
600015,19.08,19.1,19.1,18.96,207704,107883209.0,0.73,0.26,0.05,0.16,1
600015,19.1,19.23,19.28,19.08,288312,151629677.0,1.05,0.68,0.13,0.22,1
600015,19.26,19.23,19.3,19.19,168008,88555109.0,0.57,0.0,0.0,0.13,1
600015,19.21,19.19,19.28,19.14,142224,74701019.0,0.73,-0.21,-0.04,0.11,1
600015,19.19,19.26,19.37,19.14,247293,130532108.0,1.2,0.36,0.07,0.19,1
600015,19.26,19.1,19.26,19.1,139353,73032083.0,0.83,-0.83,-0.16,0.11,1
600015,19.12,19.12,19.17,19.08,168101,87774625.0,0.47,0.1,0.02,0.13,1
600015,19.1,19.01,19.12,18.99,189820,98296616.0,0.68,-0.58,-0.11,0.15,1
600015,19.01,19.12,19.14,18.99,246087,127656302.0,0.79,0.58,0.11,0.19,1
600015,19.12,19.08,19.21,19.03,403943,210670770.0,0.94,-0.21,-0.04,0.32,1
600015,19.08,19.01,19.08,18.94,294314,151958099.0,0.73,-0.37,-0.07,0.23,1
600015,18.99,19.12,19.19,18.96,326135,169671907.0,1.21,0.58,0.11,0.25,1
600015,19.08,19.1,19.12,19.05,172678,89811900.0,0.37,-0.1,-0.02,0.13,1
600015,19.1,19.14,19.14,19.08,185062,96543780.0,0.31,0.21,0.04,0.14,1
600015,19.21,19.17,19.26,19.14,278347,146100591.0,0.63,0.16,0.03,0.22,1
600015,19.17,19.1,19.19,19.1,207189,108357205.0,0.47,-0.37,-0.07,0.16,1
