股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
002966,9.29,9.41,9.49,9.25,439272,346974298.5,2.59,1.4,0.13,1.24,1
002966,9.38,9.5,9.54,9.38,435826,347604132.89,1.7,0.96,0.09,1.23,1
002966,9.52,9.55,9.67,9.5,352245,284290333.27,1.79,0.53,0.05,0.99,1
002966,9.55,9.5,9.62,9.39,233640,185972323.98,2.41,-0.52,-0.05,0.66,1
002966,9.51,9.45,9.52,9.39,244558,194198011.43,1.37,-0.53,-0.05,0.69,1
002966,9.44,9.38,9.45,9.34,120685,95162808.41,1.16,-0.74,-0.07,0.34,1
002966,9.38,9.41,9.47,9.31,137420,108515879.68,1.71,0.32,0.03,0.39,1
002966,9.4,9.39,9.43,9.33,108239,85114135.98,1.06,-0.21,-0.02,0.31,1
002966,9.41,9.51,9.53,9.37,200785,159773009.82,1.7,1.28,0.12,0.57,1
002966,9.64,9.31,9.64,9.29,379885,300907839.18,3.68,-2.1,-0.2,1.07,1
002966,9.36,9.41,9.49,9.21,296673,232717453.13,3.01,1.07,0.1,0.84,1
002966,9.4,9.53,9.58,9.36,252803,201729102.82,2.34,1.28,0.12,0.71,1
002966,9.55,9.52,9.63,9.45,262220,210384052.09,1.89,-0.1,-0.01,0.74,1
002966,9.49,9.38,9.53,9.34,188391,148418311.55,2.0,-1.47,-0.14,0.53,1
002966,9.43,9.26,9.48,9.21,273451,213891609.91,2.88,-1.28,-0.12,0.77,1
002966,9.27,9.31,9.47,9.2,318445,249959127.22,2.92,0.54,0.05,0.9,1
