股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
002839,6.35,6.4,6.44,6.32,199080,92404190.36,1.89,0.79,0.05,0.97,1
002839,6.41,6.51,6.52,6.36,284829,134294663.49,2.5,1.72,0.11,1.38,1
002839,6.56,6.46,6.57,6.44,231561,109295114.39,2.0,-0.77,-0.05,1.12,1
002839,6.48,6.44,6.5,6.4,171954,80491877.68,1.55,-0.31,-0.02,0.83,1
002839,6.46,6.41,6.46,6.39,144128,67248572.55,1.09,-0.47,-0.03,0.7,1
002839,6.44,6.36,6.44,6.35,143420,66480237.68,1.4,-0.78,-0.05,0.7,1
002839,6.4,6.4,6.42,6.35,129741,60259576.05,1.1,0.63,0.04,0.63,1
002839,6.4,6.36,6.4,6.32,118175,54498343.66,1.25,-0.63,-0.04,0.57,1
002839,6.39,6.41,6.45,6.34,273935,127050225.79,1.73,0.79,0.05,1.33,1
002839,6.41,6.45,6.52,6.39,413515,194652893.82,2.03,0.62,0.04,2.01,1
002839,6.5,6.51,6.52,6.44,299224,141082436.12,1.24,0.93,0.06,1.45,1
002839,6.54,6.63,6.72,6.52,457169,221238685.58,3.07,1.84,0.12,2.22,1
002839,6.63,6.63,6.66,6.57,242546,117156718.23,1.36,0.0,0.0,1.18,1
002839,6.65,6.6,6.66,6.58,218001,105062704.4,1.21,-0.45,-0.03,1.06,1
002839,6.64,6.57,6.66,6.53,372070,178674073.96,1.97,-0.45,-0.03,1.8,1
002839,6.58,6.57,6.63,6.54,230356,110685540.52,1.37,0.0,0.0,1.11,1
