股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601665,4.53,4.56,4.57,4.49,107973,45156478.0,1.77,0.66,0.03,0.47,1
601665,4.54,4.63,4.63,4.53,154898,65764887.0,2.19,1.54,0.07,0.67,1
601665,4.63,4.6,4.64,4.59,109060,46325419.0,1.08,-0.65,-0.03,0.47,1
601665,4.6,4.59,4.62,4.57,98607,41647178.0,1.09,-0.22,-0.01,0.43,1
601665,4.58,4.58,4.62,4.57,112080,47459342.0,1.09,-0.22,-0.01,0.48,1
601665,4.58,4.55,4.59,4.55,90769,38164819.0,0.87,-0.66,-0.03,0.39,1
601665,4.56,4.56,4.58,4.53,146988,61639919.0,1.1,0.22,0.01,0.63,1
601665,4.54,4.53,4.55,4.49,124954,51953912.0,1.32,-0.66,-0.03,0.54,1
601665,4.54,4.59,4.6,4.52,184828,77622798.0,1.77,1.32,0.06,0.8,1
601665,4.63,4.61,4.67,4.59,208640,89069955.0,1.74,0.44,0.02,0.9,1
601665,4.6,4.64,4.66,4.59,224898,95827105.0,1.52,0.65,0.03,0.97,1
601665,4.64,4.66,4.72,4.62,177095,76299391.0,2.16,0.43,0.02,0.76,1
601665,4.65,4.68,4.69,4.62,167314,71920742.0,1.5,0.43,0.02,0.72,1
601665,4.7,4.65,4.7,4.65,134921,58025491.0,1.07,-0.64,-0.03,0.58,1
601665,4.71,4.64,4.71,4.63,191546,82426521.0,1.72,-0.22,-0.01,0.83,1
601665,4.65,4.63,4.67,4.62,157630,67473576.0,1.08,-0.22,-0.01,0.68,1
