股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
000858,3071.29,3027.5,3083.95,3001.07,182062,3240728572.4,2.7,-1.27,-38.94,0.47,1
000858,3024.37,3034.07,3063.47,2997.79,128836,2299619966.21,2.17,0.22,6.57,0.33,1
000858,3079.11,3196.39,3204.37,3061.9,402791,7535626605.79,4.7,5.35,162.32,1.04,1
000858,3229.39,3219.23,3229.39,3177.32,233383,4428033739.33,1.63,0.71,22.84,0.6,1
000858,3250.35,3303.99,3319.78,3214.53,275573,5362756420.79,3.27,2.63,84.76,0.71,1
000858,3302.73,3293.98,3316.97,3284.13,202752,3965377700.54,0.99,-0.3,-10.01,0.52,1
000858,3290.85,3276.15,3305.71,3252.69,169995,3304975110.03,1.61,-0.54,-17.83,0.44,1
000858,3290.22,3265.05,3302.27,3243.47,138227,2675310868.61,1.79,-0.34,-11.1,0.36,1
000858,3265.05,3346.21,3359.19,3264.26,245064,4833945957.62,2.91,2.49,81.16,0.63,1
000858,3368.42,3470.38,3513.38,3368.42,363525,7493040737.32,4.33,3.71,124.17,0.94,1
000858,3477.88,3413.14,3490.08,3393.59,215079,4383014176.66,2.78,-1.65,-57.24,0.55,1
000858,3445.51,3459.12,3552.79,3435.97,272412,5639270861.86,3.42,1.35,45.98,0.7,1
000858,3469.28,3451.3,3470.06,3405.17,181199,3710296047.53,1.88,-0.23,-7.82,0.47,1
000858,3491.8,3504.78,3556.08,3479.45,273480,5738958670.25,2.22,1.55,53.48,0.7,1
000858,3659.13,3643.65,3679.46,3591.73,321809,7001555735.16,2.5,3.96,138.87,0.83,1
000858,3634.11,3509.16,3646.31,3507.6,257247,5456751654.42,3.81,-3.69,-134.49,0.66,1
