股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601988,6.05,6.04,6.05,6.03,1311103,413906538.0,0.33,0.0,0.0,0.06,1
601988,6.04,6.09,6.1,6.04,2007337,640825711.0,0.99,0.83,0.05,0.1,1
601988,6.1,6.09,6.12,6.09,1180471,379146671.0,0.49,0.0,0.0,0.06,1
601988,6.1,6.1,6.11,6.06,1258527,402754304.0,0.82,0.16,0.01,0.06,1
601988,6.1,6.07,6.11,6.07,835156,267453283.0,0.66,-0.49,-0.03,0.04,1
601988,6.09,6.06,6.09,6.06,665470,211969670.0,0.49,-0.16,-0.01,0.03,1
601988,6.06,6.07,6.09,6.06,790228,252398091.0,0.5,0.17,0.01,0.04,1
601988,6.09,6.07,6.09,6.06,851896,271935627.0,0.49,0.0,0.0,0.04,1
601988,6.09,6.12,6.12,6.07,1216542,392007104.0,0.82,0.82,0.05,0.06,1
601988,6.12,6.1,6.14,6.1,1505224,485319563.0,0.65,-0.33,-0.02,0.07,1
601988,6.1,6.11,6.11,6.09,966107,310436879.0,0.33,0.16,0.01,0.05,1
601988,6.12,6.1,6.12,6.1,779470,250814906.0,0.33,-0.16,-0.01,0.04,1
601988,6.11,6.11,6.11,6.09,608904,195517211.0,0.33,0.16,0.01,0.03,1
601988,6.11,6.11,6.12,6.1,751513,241712862.0,0.33,0.0,0.0,0.04,1
601988,6.13,6.12,6.14,6.1,1499126,484302796.0,0.65,0.16,0.01,0.07,1
601988,6.12,6.11,6.13,6.11,886046,285709655.0,0.33,-0.16,-0.01,0.04,1
