股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601128,8.69,8.81,8.84,8.65,298471,228273117.0,2.19,1.38,0.12,1.13,1
601128,8.84,8.85,8.88,8.76,236649,182063627.0,1.36,0.45,0.04,0.9,1
601128,8.85,8.86,8.89,8.76,257663,198344617.0,1.47,0.11,0.01,0.97,1
601128,8.86,8.77,8.86,8.7,232553,177314562.0,1.81,-1.02,-0.09,0.88,1
601128,8.79,8.69,8.79,8.68,153974,116751934.0,1.25,-0.91,-0.08,0.58,1
601128,8.7,8.64,8.72,8.59,179823,134912693.0,1.5,-0.58,-0.05,0.68,1
601128,8.64,8.69,8.73,8.59,285966,215479040.0,1.62,0.58,0.05,1.08,1
601128,8.69,8.58,8.71,8.54,305549,227533107.0,1.96,-1.27,-0.11,1.16,1
601128,8.61,8.65,8.67,8.53,227747,169987617.0,1.63,0.82,0.07,0.86,1
601128,8.66,8.53,8.72,8.52,639612,475703123.0,2.31,-1.39,-0.12,2.42,1
601128,8.53,8.61,8.64,8.51,318837,237541913.0,1.52,0.94,0.08,1.21,1
601128,8.59,8.67,8.72,8.57,309565,232496741.0,1.74,0.7,0.06,1.17,1
601128,8.62,8.53,8.65,8.52,323416,239775005.0,1.5,-1.61,-0.14,1.22,1
601128,8.54,8.57,8.59,8.52,227275,168492327.0,0.82,0.47,0.04,0.86,1
601128,8.62,8.56,8.67,8.56,299538,223339820.0,1.28,-0.12,-0.01,1.13,1
601128,8.59,8.52,8.59,8.5,237376,175647137.0,1.05,-0.47,-0.04,0.9,1
