股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601939,9.93,9.94,9.94,9.87,638411,357774931.0,0.7,0.0,0.0,0.67,1
601939,9.94,9.99,10.01,9.93,743602,421788927.0,0.8,0.5,0.05,0.78,1
601939,10.02,9.99,10.02,9.96,475140,269497691.0,0.6,0.0,0.0,0.5,1
601939,9.98,9.98,10.01,9.94,530219,299989173.0,0.7,-0.1,-0.01,0.55,1
601939,9.97,9.94,9.98,9.93,470807,265539985.0,0.5,-0.4,-0.04,0.49,1
601939,9.95,9.91,9.95,9.9,323419,181423010.0,0.5,-0.3,-0.03,0.34,1
601939,9.91,9.95,9.96,9.9,365488,205423277.0,0.61,0.4,0.04,0.38,1
601939,9.95,9.92,9.95,9.9,429281,240513620.0,0.5,-0.3,-0.03,0.45,1
601939,9.91,9.95,9.95,9.9,356085,200549962.0,0.5,0.3,0.03,0.37,1
601939,9.96,9.93,9.98,9.92,587673,331312426.0,0.6,-0.2,-0.02,0.61,1
601939,9.94,9.91,9.94,9.9,474801,266088435.0,0.4,-0.2,-0.02,0.49,1
601939,9.92,9.92,9.94,9.91,348625,195892205.0,0.3,0.1,0.01,0.36,1
601939,9.93,9.93,9.94,9.9,356399,199894920.0,0.4,0.1,0.01,0.37,1
601939,9.94,9.94,9.95,9.92,309036,173864586.0,0.3,0.1,0.01,0.32,1
601939,9.97,9.94,9.98,9.93,507951,286525713.0,0.5,0.0,0.0,0.53,1
601939,9.95,9.92,9.95,9.92,457899,257564573.0,0.3,-0.2,-0.02,0.48,1
