股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
600926,28.96,29.34,29.47,28.53,212416,280327105.0,3.25,1.52,0.44,0.42,1
600926,29.49,29.79,29.98,29.2,216296,292345356.0,2.66,1.53,0.45,0.43,1
600926,29.88,29.88,30.16,29.67,164161,223308018.0,1.64,0.3,0.09,0.32,1
600926,29.88,29.83,30.0,29.49,132894,179285525.0,1.71,-0.17,-0.05,0.26,1
600926,29.83,29.9,30.06,29.61,124756,169382934.0,1.51,0.23,0.07,0.25,1
600926,29.77,29.49,29.96,29.38,132932,178715508.0,1.94,-1.37,-0.41,0.26,1
600926,29.51,29.43,29.81,29.38,135175,181181827.0,1.46,-0.2,-0.06,0.27,1
600926,29.53,29.49,29.63,29.24,132401,176774895.0,1.33,0.2,0.06,0.26,1
600926,29.43,29.83,29.83,29.43,104622,141101005.0,1.36,1.15,0.34,0.21,1
600926,29.87,29.53,30.12,29.45,202164,273032375.0,2.25,-1.01,-0.3,0.4,1
600926,29.65,29.45,29.65,29.24,168565,224516889.0,1.39,-0.27,-0.08,0.33,1
600926,29.34,29.53,29.65,29.24,143998,192650840.0,1.39,0.27,0.08,0.28,1
600926,29.59,29.36,29.61,29.16,116728,154956541.0,1.52,-0.58,-0.17,0.23,1
600926,29.39,29.3,29.45,29.08,157107,208635675.0,1.26,-0.2,-0.06,0.31,1
600926,29.55,29.06,29.57,29.02,241075,319799180.0,1.88,-0.82,-0.24,0.48,1
600926,29.16,28.79,29.34,28.75,205161,268736405.0,2.03,-0.93,-0.27,0.4,1
