股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601166,77.26,78.14,78.4,76.71,770285,1359924064.0,2.18,0.75,0.58,0.37,1
601166,78.27,79.11,79.76,78.11,968300,1751473287.0,2.11,1.24,0.97,0.47,1
601166,79.47,79.18,79.63,78.82,637233,1153854278.0,1.02,0.09,0.07,0.31,1
601166,79.08,79.21,79.4,78.56,528331,952991090.0,1.06,0.04,0.03,0.25,1
601166,79.27,79.14,79.53,78.88,401440,727009534.0,0.82,-0.09,-0.07,0.19,1
601166,79.05,78.17,79.47,78.07,655413,1174843861.0,1.77,-1.23,-0.97,0.32,1
601166,78.33,78.82,79.31,78.2,624385,1125270868.0,1.42,0.83,0.65,0.3,1
601166,79.11,79.05,79.14,78.5,366000,657691463.0,0.81,0.29,0.23,0.18,1
601166,79.11,79.63,79.63,78.88,547583,993531259.0,0.95,0.73,0.58,0.26,1
601166,79.69,79.63,80.41,79.31,742637,1358370789.0,1.38,0.0,0.0,0.36,1
601166,79.47,79.53,79.82,79.11,524374,952057405.0,0.89,-0.13,-0.1,0.25,1
601166,79.53,79.01,79.69,78.98,490031,887000983.0,0.89,-0.65,-0.52,0.24,1
601166,78.88,79.11,79.24,78.46,586365,1053867124.0,0.99,0.13,0.1,0.28,1
601166,79.14,78.76,79.14,78.5,636901,1142205918.0,0.81,-0.44,-0.35,0.31,1
601166,79.47,78.56,79.53,78.5,784278,1412227084.0,1.31,-0.25,-0.2,0.38,1
601166,78.43,77.65,78.82,77.43,1103953,1958029605.0,1.77,-1.16,-0.91,0.53,1
