股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601577,8.02,8.02,8.03,7.96,111627,75139942.0,0.87,-0.12,-0.01,0.54,1
601577,8.01,8.13,8.14,8.0,127923,87363609.0,1.75,1.37,0.11,0.62,1
601577,8.14,8.14,8.21,8.12,99911,68816737.0,1.11,0.12,0.01,0.48,1
601577,8.12,8.13,8.16,8.09,76177,52220918.0,0.86,-0.12,-0.01,0.37,1
601577,8.16,8.12,8.18,8.11,76349,52492054.0,0.86,-0.12,-0.01,0.37,1
601577,8.12,8.09,8.15,8.07,59906,40988256.0,0.99,-0.37,-0.03,0.29,1
601577,8.1,8.12,8.15,8.07,66704,45710832.0,0.99,0.37,0.03,0.32,1
601577,8.12,8.1,8.15,8.07,57760,39490779.0,0.99,-0.25,-0.02,0.28,1
601577,8.12,8.19,8.19,8.09,82182,56563926.0,1.23,1.11,0.09,0.4,1
601577,8.22,8.19,8.28,8.18,109026,75921643.0,1.22,0.0,0.0,0.53,1
601577,8.21,8.16,8.21,8.13,70937,48873637.0,0.98,-0.37,-0.03,0.34,1
601577,8.14,8.19,8.21,8.14,53163,36699391.0,0.86,0.37,0.03,0.26,1
601577,8.17,8.21,8.22,8.13,53874,37191614.0,1.1,0.24,0.02,0.26,1
601577,8.21,8.21,8.22,8.12,113080,78073591.0,1.22,0.0,0.0,0.55,1
601577,8.25,8.17,8.27,8.16,110818,77022679.0,1.34,-0.49,-0.04,0.54,1
601577,8.16,8.13,8.21,8.13,91795,63243040.0,0.98,-0.49,-0.04,0.44,1
