股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
002948,4.21,4.22,4.25,4.17,195464,66023419.75,1.9,0.48,0.02,0.65,1
002948,4.24,4.31,4.33,4.22,218616,75108888.55,2.61,2.13,0.09,0.73,1
002948,4.35,4.29,4.35,4.26,186085,63769310.8,2.09,-0.46,-0.02,0.62,1
002948,4.29,4.24,4.29,4.22,160503,54475857.64,1.63,-1.17,-0.05,0.53,1
002948,4.25,4.2,4.25,4.2,148275,49997589.2,1.18,-0.94,-0.04,0.49,1
002948,4.21,4.14,4.21,4.14,153630,51265373.4,1.67,-1.43,-0.06,0.51,1
002948,4.14,4.18,4.2,4.13,163099,54460881.5,1.69,0.97,0.04,0.54,1
002948,4.18,4.16,4.18,4.12,131008,43501531.85,1.44,-0.48,-0.02,0.43,1
002948,4.17,4.2,4.21,4.16,131951,44243505.56,1.2,0.96,0.04,0.44,1
002948,4.22,4.27,4.33,4.2,303618,103690305.54,3.1,1.67,0.07,1.01,1
002948,4.27,4.21,4.27,4.18,198707,67068927.0,2.11,-1.41,-0.06,0.66,1
002948,4.22,4.31,4.35,4.21,359847,123505528.15,3.33,2.38,0.1,1.19,1
002948,4.29,4.37,4.42,4.26,283618,98383245.56,3.71,1.39,0.06,0.94,1
002948,4.39,4.35,4.39,4.31,217359,75371383.06,1.83,-0.46,-0.02,0.72,1
002948,4.38,4.3,4.39,4.3,215733,74771079.92,2.07,-1.15,-0.05,0.72,1
002948,4.3,4.29,4.33,4.27,149430,51320822.88,1.4,-0.23,-0.01,0.5,1
