股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601288,4.87,4.86,4.87,4.85,2987682,865794642.0,0.41,-0.21,-0.01,0.1,1
601288,4.86,4.89,4.9,4.85,3972458,1160297953.0,1.03,0.62,0.03,0.13,1
601288,4.9,4.89,4.91,4.88,2972185,871739563.0,0.61,0.0,0.0,0.1,1
601288,4.89,4.88,4.9,4.87,3621642,1056426678.0,0.61,-0.2,-0.01,0.12,1
601288,4.89,4.88,4.89,4.87,2251798,657844201.0,0.41,0.0,0.0,0.08,1
601288,4.88,4.87,4.88,4.86,2634671,765535627.0,0.41,-0.2,-0.01,0.09,1
601288,4.87,4.87,4.88,4.86,1981618,577413644.0,0.41,0.0,0.0,0.07,1
601288,4.87,4.88,4.88,4.86,2863624,834309536.0,0.41,0.21,0.01,0.1,1
601288,4.88,4.9,4.9,4.87,3083283,904597202.0,0.61,0.41,0.02,0.1,1
601288,4.9,4.87,4.91,4.87,5611539,1641445615.0,0.82,-0.61,-0.03,0.19,1
601288,4.87,4.87,4.88,4.86,2234450,650261778.0,0.41,0.0,0.0,0.07,1
601288,4.88,4.88,4.89,4.87,2228855,651005844.0,0.41,0.21,0.01,0.07,1
601288,4.88,4.88,4.89,4.87,1949922,568826257.0,0.41,0.0,0.0,0.07,1
601288,4.88,4.88,4.88,4.87,3064832,893420491.0,0.2,0.0,0.0,0.1,1
601288,4.89,4.88,4.9,4.87,3779497,1104270710.0,0.61,0.0,0.0,0.13,1
601288,4.88,4.87,4.89,4.87,2316896,675999716.0,0.41,-0.2,-0.01,0.08,1
