date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
2024-01-02,601318,114.33,112.67,114.35,112.65,437592,1740486365.0,1.49,-1.45,-1.66,0.41,1
2024-01-03,601318,112.67,112.53,113.05,112.11,363822,1432855499.0,0.83,-0.12,-0.14,0.34,1
2024-01-04,601318,112.45,111.53,112.89,111.05,467392,1819793957.0,1.64,-0.89,-1.0,0.43,1
2024-01-05,601318,111.43,111.67,112.89,111.09,499202,1955115160.0,1.61,0.13,0.14,0.46,1
