股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601077,4.23,4.23,4.24,4.21,296948,104830147.0,0.71,0.0,0.0,0.5,1
601077,4.24,4.28,4.28,4.23,460436,163833515.0,1.18,1.18,0.05,0.78,1
601077,4.27,4.26,4.29,4.26,317199,113194591.0,0.7,-0.47,-0.02,0.54,1
601077,4.26,4.25,4.27,4.25,189559,67436984.0,0.47,-0.23,-0.01,0.32,1
601077,4.26,4.25,4.27,4.24,226892,80702612.0,0.71,0.0,0.0,0.39,1
601077,4.26,4.22,4.26,4.22,241820,85548220.0,0.94,-0.71,-0.03,0.41,1
601077,4.23,4.23,4.24,4.22,191437,67589501.0,0.47,0.24,0.01,0.33,1
601077,4.23,4.23,4.24,4.21,240597,84718164.0,0.71,0.0,0.0,0.41,1
601077,4.22,4.26,4.26,4.22,230433,81579172.0,0.95,0.71,0.03,0.39,1
601077,4.26,4.27,4.29,4.24,434247,155182207.0,1.17,0.23,0.01,0.74,1
601077,4.27,4.26,4.28,4.25,231451,82393536.0,0.7,-0.23,-0.01,0.39,1
601077,4.26,4.28,4.3,4.25,360023,128760974.0,1.17,0.47,0.02,0.61,1
601077,4.27,4.29,4.29,4.26,249120,89078904.0,0.7,0.23,0.01,0.42,1
601077,4.29,4.3,4.3,4.28,285222,102369492.0,0.47,0.23,0.01,0.48,1
601077,4.32,4.29,4.33,4.29,477434,172285374.0,0.93,-0.23,-0.01,0.81,1
601077,4.3,4.29,4.3,4.28,322756,115848248.0,0.47,0.0,0.0,0.55,1
