股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
600016,84.3,84.03,84.3,83.75,584775,201231771.0,0.65,-0.15,-0.13,0.16,1
600016,84.16,84.43,84.57,84.03,553693,192063423.0,0.64,0.48,0.4,0.16,1
600016,84.43,84.57,84.71,84.43,510021,177603825.0,0.33,0.17,0.14,0.14,1
600016,84.71,84.43,84.71,84.16,500410,173473525.0,0.65,-0.17,-0.14,0.14,1
600016,84.43,84.3,84.57,84.16,525178,182102932.0,0.49,-0.15,-0.13,0.15,1
600016,84.43,83.89,84.43,83.89,474141,163347405.0,0.64,-0.49,-0.41,0.13,1
600016,84.03,84.03,84.16,83.89,496084,170611044.0,0.32,0.17,0.14,0.14,1
600016,83.89,83.62,84.03,83.62,421778,144147694.0,0.49,-0.49,-0.41,0.12,1
600016,83.62,84.16,84.16,83.62,416736,142997723.0,0.65,0.65,0.54,0.12,1
600016,84.16,84.43,84.71,84.03,664941,230651892.0,0.81,0.32,0.27,0.19,1
600016,84.57,84.43,84.57,84.16,355759,123079823.0,0.49,0.0,0.0,0.1,1
600016,84.43,84.57,84.57,84.3,344561,119536025.0,0.32,0.17,0.14,0.1,1
600016,84.43,84.57,84.71,84.16,341391,118379986.0,0.65,0.0,0.0,0.1,1
600016,84.57,84.84,84.84,84.43,453582,158216474.0,0.48,0.32,0.27,0.13,1
600016,85.11,84.84,85.25,84.71,564052,197745260.0,0.64,0.0,0.0,0.16,1
600016,84.71,84.71,84.84,84.57,497957,173825050.0,0.32,-0.15,-0.13,0.14,1
