股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601398,7.94,7.91,7.94,7.9,2428810,1047725002.0,0.5,-0.38,-0.03,0.09,1
601398,7.92,7.96,7.96,7.91,2351477,1022070423.0,0.63,0.63,0.05,0.09,1
601398,7.96,7.93,7.98,7.93,2017798,877204366.0,0.63,-0.38,-0.03,0.07,1
601398,7.93,7.94,7.95,7.91,1687138,731034157.0,0.5,0.13,0.01,0.06,1
601398,7.95,7.93,7.96,7.93,1666792,723302384.0,0.38,-0.13,-0.01,0.06,1
601398,7.94,7.9,7.94,7.9,1751259,755033290.0,0.5,-0.38,-0.03,0.06,1
601398,7.9,7.91,7.92,7.89,1349496,581583428.0,0.38,0.13,0.01,0.05,1
601398,7.91,7.9,7.92,7.89,1095531,471371597.0,0.38,-0.13,-0.01,0.04,1
601398,7.9,7.94,7.94,7.9,1310556,566908490.0,0.51,0.51,0.04,0.05,1
601398,7.94,7.94,7.96,7.93,2239501,972719257.0,0.38,0.0,0.0,0.08,1
601398,7.94,7.93,7.95,7.91,1348396,583427985.0,0.5,-0.13,-0.01,0.05,1
601398,7.93,7.94,7.95,7.93,1290402,559746084.0,0.25,0.13,0.01,0.05,1
601398,7.93,7.93,7.94,7.91,1311154,566876473.0,0.38,-0.13,-0.01,0.05,1
601398,7.93,7.93,7.94,7.92,1423234,615310375.0,0.25,0.0,0.0,0.05,1
601398,7.94,7.92,7.95,7.91,2451084,1060660579.0,0.5,-0.13,-0.01,0.09,1
601398,7.92,7.92,7.93,7.91,1687635,729242573.0,0.25,0.0,0.0,0.06,1
