股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
600928,4.25,4.23,4.25,4.2,116677,40775409.0,1.18,-0.47,-0.02,0.39,1
600928,4.23,4.28,4.29,4.22,159700,56574058.0,1.65,1.18,0.05,0.53,1
600928,4.3,4.25,4.3,4.25,121623,43034345.0,1.17,-0.7,-0.03,0.4,1
600928,4.25,4.22,4.26,4.21,94825,33130860.0,1.18,-0.71,-0.03,0.31,1
600928,4.24,4.2,4.24,4.2,76503,26686130.0,0.95,-0.47,-0.02,0.25,1
600928,4.2,4.17,4.21,4.16,68817,23784743.0,1.19,-0.71,-0.03,0.23,1
600928,4.17,4.18,4.21,4.17,62991,21757860.0,0.96,0.24,0.01,0.21,1
600928,4.18,4.15,4.19,4.13,73119,25009387.0,1.44,-0.72,-0.03,0.24,1
600928,4.15,4.19,4.2,4.14,74980,25857692.0,1.45,0.96,0.04,0.25,1
600928,4.19,4.22,4.27,4.18,127921,44673276.0,2.15,0.72,0.03,0.42,1
600928,4.22,4.2,4.22,4.19,80385,27910810.0,0.71,-0.47,-0.02,0.27,1
600928,4.21,4.24,4.26,4.19,115268,40413223.0,1.67,0.95,0.04,0.38,1
600928,4.25,4.24,4.25,4.21,79646,27912175.0,0.94,0.0,0.0,0.26,1
600928,4.25,4.24,4.26,4.22,111953,39295687.0,0.94,0.0,0.0,0.37,1
600928,4.26,4.24,4.28,4.24,117196,41299052.0,0.94,0.0,0.0,0.39,1
600928,4.23,4.24,4.26,4.22,93771,32913005.0,0.94,0.0,0.0,0.31,1
