股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601963,7.54,7.58,7.59,7.51,33483,22773296.0,1.06,0.53,0.04,0.48,1
601963,7.58,7.64,7.66,7.56,35990,24741524.0,1.32,0.79,0.06,0.52,1
601963,7.66,7.66,7.67,7.62,26708,18402337.0,0.65,0.26,0.02,0.39,1
601963,7.67,7.62,7.67,7.61,22728,15601762.0,0.78,-0.52,-0.04,0.33,1
601963,7.61,7.61,7.64,7.6,19826,13602237.0,0.52,-0.13,-0.01,0.29,1
601963,7.63,7.57,7.64,7.57,20705,14130334.0,0.92,-0.53,-0.04,0.3,1
601963,7.58,7.57,7.61,7.57,19899,13592058.0,0.53,0.0,0.0,0.29,1
601963,7.58,7.57,7.59,7.53,21670,14732093.0,0.79,0.0,0.0,0.31,1
601963,7.58,7.62,7.62,7.55,21232,14494342.0,0.92,0.66,0.05,0.31,1
601963,7.65,7.69,7.76,7.62,61758,42841892.0,1.84,0.92,0.07,0.89,1
601963,7.7,7.71,7.72,7.64,32718,22634855.0,1.04,0.26,0.02,0.47,1
601963,7.71,7.73,7.78,7.68,36179,25215063.0,1.3,0.26,0.02,0.52,1
601963,7.72,7.82,7.85,7.7,69698,49016690.0,1.94,1.16,0.09,1.01,1
601963,7.83,7.84,7.86,7.79,53556,37849453.0,0.9,0.26,0.02,0.77,1
601963,7.88,7.81,7.9,7.8,56267,39824080.0,1.28,-0.38,-0.03,0.81,1
601963,7.83,7.8,7.84,7.79,31680,22336749.0,0.64,-0.13,-0.01,0.46,1
