股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
002142,58.83,58.88,59.21,57.66,275525,883241459.63,2.61,-0.69,-0.41,0.42,1
002142,59.29,61.06,61.7,58.93,379307,1265667861.85,4.7,3.7,2.18,0.58,1
002142,61.13,60.41,61.8,60.24,255706,852161621.51,2.55,-1.06,-0.65,0.39,1
002142,60.68,59.6,60.68,58.61,397619,1288696127.14,3.43,-1.34,-0.81,0.61,1
002142,59.84,59.95,60.24,59.21,264196,864267897.41,1.73,0.59,0.35,0.4,1
002142,59.95,59.4,60.02,58.95,212736,693134784.41,1.78,-0.92,-0.55,0.33,1
002142,59.38,61.44,61.75,59.12,353498,1182863686.76,4.43,3.43,2.04,0.54,1
002142,62.01,61.37,62.01,60.6,217262,728189561.32,2.29,-0.11,-0.07,0.33,1
002142,61.44,61.9,62.49,60.67,214245,726016314.39,2.97,0.86,0.53,0.33,1
002142,61.89,62.3,63.43,61.61,333784,1146981872.2,2.94,0.65,0.4,0.51,1
002142,62.26,61.58,62.47,61.11,311318,1049966566.04,2.18,-1.16,-0.72,0.48,1
002142,61.71,61.47,62.28,61.01,183870,620489864.77,2.06,-0.18,-0.11,0.28,1
002142,61.27,60.68,61.53,59.9,270450,896902132.32,2.65,-1.29,-0.79,0.41,1
002142,60.77,60.6,60.94,60.27,209364,695059950.68,1.1,-0.13,-0.08,0.32,1
002142,61.77,61.3,61.77,60.62,302759,1019196332.98,1.9,1.16,0.7,0.46,1
002142,61.63,59.9,62.44,59.76,293140,977101937.11,4.37,-2.28,-1.4,0.45,1
