股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
002936,3.11,3.12,3.13,3.09,241152,57111624.67,1.29,0.97,0.03,0.4,1
002936,3.13,3.18,3.18,3.12,368472,88563552.61,1.92,1.92,0.06,0.61,1
002936,3.18,3.15,3.19,3.15,207097,49915851.05,1.26,-0.94,-0.03,0.34,1
002936,3.17,3.13,3.17,3.13,194724,46549962.53,1.27,-0.63,-0.02,0.32,1
002936,3.15,3.13,3.17,3.13,194337,46543071.28,1.28,0.0,0.0,0.32,1
002936,3.14,3.11,3.15,3.09,233273,55307136.17,1.92,-0.64,-0.02,0.38,1
002936,3.12,3.11,3.14,3.09,231810,54956762.36,1.61,0.0,0.0,0.38,1
002936,3.12,3.11,3.12,3.08,198489,46703846.0,1.29,0.0,0.0,0.33,1
002936,3.12,3.14,3.15,3.11,239513,56936502.0,1.29,0.96,0.03,0.39,1
002936,3.15,3.15,3.2,3.13,345860,83398621.05,2.23,0.32,0.01,0.57,1
002936,3.17,3.17,3.18,3.14,194035,46592904.54,1.27,0.63,0.02,0.32,1
002936,3.17,3.18,3.2,3.14,299959,72474692.05,1.89,0.32,0.01,0.49,1
002936,3.18,3.19,3.2,3.17,225223,54654252.78,0.94,0.31,0.01,0.37,1
002936,3.2,3.2,3.2,3.18,200894,48915926.82,0.63,0.31,0.01,0.33,1
002936,3.23,3.19,3.23,3.18,361999,88397762.22,1.56,-0.31,-0.01,0.59,1
002936,3.19,3.18,3.2,3.18,190278,46167129.27,0.63,-0.31,-0.01,0.31,1
