股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
601658,5.29,5.33,5.36,5.23,1086200,503219272.0,2.46,0.76,0.04,0.96,1
601658,5.36,5.43,5.45,5.31,1383679,654005996.0,2.63,1.88,0.1,1.23,1
601658,5.44,5.41,5.47,5.37,1090620,517994759.0,1.84,-0.37,-0.02,0.97,1
601658,5.41,5.4,5.43,5.36,727952,343534135.0,1.29,-0.18,-0.01,0.65,1
601658,5.4,5.43,5.47,5.38,794475,377914095.0,1.67,0.56,0.03,0.7,1
601658,5.43,5.42,5.47,5.39,745161,353796150.0,1.47,-0.18,-0.01,0.66,1
601658,5.44,5.5,5.52,5.42,1122899,541172501.0,1.85,1.48,0.08,1.0,1
601658,5.51,5.53,5.55,5.45,969058,468509359.0,1.82,0.55,0.03,0.86,1
601658,5.54,5.56,5.57,5.51,847121,413071304.0,1.08,0.54,0.03,0.75,1
601658,5.57,5.49,5.58,5.46,1495109,724487214.0,2.16,-1.26,-0.07,1.33,1
601658,5.48,5.45,5.49,5.41,1066998,509697491.0,1.46,-0.73,-0.04,0.95,1
601658,5.45,5.53,5.54,5.42,1050045,507122332.0,2.2,1.47,0.08,0.93,1
601658,5.51,5.5,5.53,5.48,528018,254955022.0,0.9,-0.54,-0.03,0.47,1
601658,5.53,5.57,5.57,5.5,750513,365925198.0,1.27,1.27,0.07,0.67,1
601658,5.61,5.52,5.63,5.52,872770,426612138.0,1.97,-0.9,-0.05,0.77,1
601658,5.52,5.48,5.57,5.48,740217,358664239.0,1.63,-0.72,-0.04,0.66,1
