商品,日期,今值,预测值,前值
美国国内生产总值(GDP),2025-05-29,-0.2,-0.3,2.4
美国国内生产总值(GDP),2025-06-26,-0.5,-0.2,2.4
美国国内生产总值(GDP),2025-07-30,3.0,2.5,-0.5
美国国内生产总值(GDP),2025-08-28,3.3,3.0,-0.5
美国国内生产总值(GDP),2025-09-25,,,3.3
