date,open,high,low,close,volume,hold,settle
2025-12-25,4781.0,4785.0,4688.0,4757.0,1134174,979053,4740.0
2025-12-26,4760.0,4834.0,4706.0,4832.0,1328933,994220,4761.0
2025-12-29,4816.0,4853.0,4764.0,4777.0,1300166,969207,4817.0
2025-12-30,4777.0,4834.0,4748.0,4810.0,869225,946761,4789.0
2025-12-31,4801.0,4822.0,4772.0,4805.0,742345,923530,4796.0
