date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate,symbol,source_id,source_type,data_type
2026-01-26,688702,132.06,135.44,139.58,129.58,43599,582469534.0,7.6,3.0,3.94,2.15,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-27,688702,138.0,162.53,162.53,133.59,99362,1461311377.0,21.37,20.0,27.09,4.89,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-28,688702,163.0,153.65,165.0,151.72,68474,1064090534.0,8.17,-5.46,-8.88,3.37,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-29,688702,153.54,155.18,165.99,153.54,67710,1086780553.0,8.1,1.0,1.53,3.34,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-30,688702,155.72,155.58,165.0,149.88,76722,1197934303.0,9.74,0.26,0.4,3.78,688702,akshare_stock_a,akshare_a_stock,daily
2026-02-02,688702,152.5,142.5,155.96,142.17,67052,991767441.0,8.86,-8.41,-13.08,3.3,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-05,002837,107.2,106.0,108.5,104.0,571816,6056767904.83,4.21,-0.83,-0.89,6.73,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-06,002837,106.9,102.5,107.28,101.5,643243,6644682431.72,5.45,-3.3,-3.5,7.57,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-07,002837,100.67,104.5,106.6,100.67,630988,6566317365.55,5.79,1.95,2.0,7.42,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-08,002837,104.5,101.56,105.5,100.56,441093,4519470860.69,4.73,-2.81,-2.94,5.19,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-09,002837,101.11,102.19,103.94,98.8,499786,5087264229.57,5.06,0.62,0.63,5.88,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-12,002837,101.0,100.08,102.0,98.35,554258,5547166792.54,3.57,-2.06,-2.11,6.52,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-13,002837,99.85,96.69,102.66,96.2,543643,5392952282.19,6.45,-3.39,-3.39,6.39,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-14,002837,97.88,99.0,102.17,95.53,637491,6283644066.37,6.87,2.39,2.31,7.5,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-15,002837,98.16,103.33,105.0,97.81,772247,7935243534.23,7.26,4.37,4.33,9.08,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-16,002837,105.0,102.64,105.2,100.92,525397,5411213210.08,4.14,-0.67,-0.69,6.18,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-19,002837,100.12,102.39,105.0,100.1,415887,4281064008.33,4.77,-0.24,-0.25,4.89,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-20,002837,101.5,96.31,102.67,95.7,584234,5703244615.56,6.81,-5.94,-6.08,6.87,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-21,002837,96.0,99.37,100.38,95.0,381041,3764396346.63,5.59,3.18,3.06,4.48,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-22,002837,99.62,99.5,101.0,97.81,280675,2775320017.86,3.21,0.13,0.13,3.3,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-23,002837,99.5,97.35,99.65,96.7,301277,2939517625.58,2.96,-2.16,-2.15,3.54,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-26,002837,96.5,97.34,100.76,96.25,282635,2773387092.71,4.63,-0.01,-0.01,3.32,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-27,002837,96.37,97.92,98.79,94.07,310352,3001234256.85,4.85,0.6,0.58,3.65,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-28,002837,98.07,104.24,106.9,97.0,811240,8289877259.25,10.11,6.45,6.32,9.54,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-29,002837,101.01,99.35,102.5,98.87,496759,4978647637.42,3.48,-4.69,-4.89,5.84,002837,akshare_stock_a,akshare_a_stock,daily
2026-01-30,002837,97.0,106.99,107.31,97.0,860329,8982652186.68,10.38,7.69,7.64,10.12,002837,akshare_stock_a,akshare_a_stock,daily
2026-02-02,002837,107.51,103.81,109.9,103.51,506127,5338205154.01,5.97,-2.97,-3.18,5.95,002837,akshare_stock_a,akshare_a_stock,daily
